property,label,description,example
RO.0011008,increases by expression quantity of,"The entity A has an activity that up-regulates by expression the quantity of B. The up-regulation is due to A having an effect on an intermediate entity (typically a DNA or mRNA element) which can produce B.

For example, protein A (transcription factor) indirectly increases by expression the quantity of protein B (gene product) if and only if A positively regulates the process of transcription or translation of a nucleic acid element that produces B.",
RO.0011009,directly positively regulates quantity of,The entity A has an activity that directly positively regulates the quantity of B.,
RO.0011010,directly negatively regulates quantity of,The entity A has an activity that directly negatively regulates the quantity of B.,
RO.0011013,indirectly positively regulates activity of,The entity A is not immediately upstream of the entity B and has an activity that up-regulates an activity performed by B.,
RO.0011014,destabilizes quantity of,An entity A directly interacts with B and A has an activity that decreases the amount of an entity B by degradating it.,
RO.0011015,stabilizes quantity of,An entity A physically interacts with B and A has an activity that increases the amount of an entity B by stabilizing it.,
RO.0011016,indirectly negatively regulates activity of,The entity A is not immediately upstream of the entity B and has an activity that down-regulates an activity performed by B.,
RO.0011021,directly regulates quantity of,"The entity A, immediately upstream of B, has an activity that directly regulates the quantity of B.",
RO.0011022,indirectly regulates quantity of,"The entity A is not immediately upstream of the entity B, but A has an activity that regulates the quantity or abundance or concentration of B.",
RO.0011023,indirectly negatively regulates quantity of,"The entity A does not physically interact with the entity B, and A has an activity that down-regulates the quantity or abundance or concentration of B.",
RO.0011024,indirectly positively regulates quantity of,"The entity A does not physically interact with the entity B, and A has an activity that up-regulates the quantity or abundance or concentration of B.",
RO.0012000,has small molecule regulator,"a relation between a process and a continuant, in which the process is regulated by the small molecule continuant",
RO.0012001,has small molecule activator,"a relation between a process and a continuant, in which the process is activated by the small molecule continuant",
RO.0012002,has small molecule inhibitor,"a relation between a process and a continuant, in which the process is inhibited by the small molecule continuant",
RO.0012003,acts on population of,"p acts on population of c iff c' is a collection, has members of type c, and p has participant c",
RO.0012004,is small molecule regulator of,"a relation between a continuant and a process, in which the continuant is a small molecule that regulates the process",
RO.0012005,is small molecule activator of,"a relation between a continuant and a process, in which the continuant is a small molecule that activates the process",
RO.0012006,is small molecule inhibitor of,"a relation between a continuant and a process, in which the continuant is a small molecule that inhibits the process",
RO.0012007,results in adhesion of,"The relationship that links anatomical entities with a process that results in the adhesion of two or more entities via the non-covalent interaction of molecules expressed in, located in, and/or adjacent to, those entities.",
RO.0012008,results in fusion of,,
RO.0012009,constitutively upstream of,"p is constitutively upstream of q iff p is causally upstream of q, p is required for execution of q or a part of q, and the execution of p is approximately constant.",
RO.0012010,removes input for,"p removes input for q iff p is causally upstream of q, there exists some c such that p has_input c and q has_input c, p reduces the levels of c, and c is rate limiting for execution of q.",
RO.0012011,indirectly causally upstream of,p is indirectly causally upstream of q iff p is causally upstream of q and there exists some process r such that p is causally upstream of r and r is causally upstream of q.,
RO.0012012,indirectly regulates,p indirectly regulates q iff p is indirectly causally upstream of q and p regulates q.,
RO.0012013,positively regulates in another organism,"x 'positively regulates in other organism' y if and only if: (x is the realization of a function to increase the frequency, rate or extent of y) AND (the agents of x are produced by organism o1 and the agents of y are produced by organism o2).",
RO.0012014,negatively regulates in another organism,"x 'negatively regulates in other organism' y if and only if: (x is the realization of a function to reduce the frequency, rate or extent of y) AND (the agents of x are produced by organism o1 and the agents of y are produced by organism o2).",
RO.0013001,has synaptic IO in region,"A relationship between a neuron and a region, where the neuron has a functionally relevant number of input and/or output synapses in that region.",
RO.0013002,receives synaptic input in region,"A relationship between a neuron and a region, where the neuron has a functionally relevant number of input synapses in that region.",
RO.0013003,sends synaptic output to region,"A relationship between a neuron and a region, where the neuron has a functionally relevant number of output synapses in that region.",
RO.0013004,has synaptic IO throughout,"A relationship between a neuron and a region, where the neuron has a functionally relevant number of input and/or output synapses distributed throughout that region (rather than confined to a subregion).",
RO.0013005,receives synaptic input throughout,"A relationship between a neuron and a region, where the neuron has a functionally relevant number of input synapses distributed throughout that region (rather than confined to a subregion).",
RO.0013006,sends synaptic output throughout,"A relationship between a neuron and a region, where the neuron has a functionally relevant number output synapses distributed throughout that region (rather than confined to a subregion).",
RO.0013007,has sensory dendrite in,Relation between a sensory neuron and some structure in which it receives sensory input via a sensory dendrite.,
RO.0013008,receives synaptic input from neuron,A relationship between an anatomical structure (including cells) and a neuron that has a functionally relevant number of chemical synapses to it.,
RO.0013009,sends synaptic output to cell,A relationship between a neuron and a cell that it has a functionally relevant number of chemical synapses to.,
RO.0014001,disease has infectious agent,A relationship between a disease and an infectious agent where the material basis of the disease is an infection with some infectious agent.,
RO.0015001,has exemplar data,A relation between a material entity and some data in which the data is taken as exemplifying the material entity.,
RO.0015002,exemplar data of,,
RO.0015003,subcluster of,A relation between a group and another group it is part of but does not fully constitute.,
RO.0015004,has characterizing marker set,A relation that applies between a cell type and a set of markers that can be used to uniquely identify that cell type.,
RO.0015006,different in magnitude relative to,"q1 different_in_magnitude_relative_to q2 if and only if magnitude(q1) NOT =~ magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.",
RO.0015007,increased in magnitude relative to,"q1 increased_in_magnitude_relative_to q2 if and only if magnitude(q1) > magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.",
RO.0015008,decreased in magnitude relative to,"q1 decreased_in_magnitude_relative_to q2 if and only if magnitude(q1) < magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.",
RO.0015009,similar in magnitude relative to,"q1 similar_in_magnitude_relative_to q2 if and only if magnitude(q1) =~ magnitude(q2). Here, magnitude(q) is a function that maps a quality to a unit-invariant scale.",
RO.0015010,has relative magnitude,,
RO.0015011,has cross section,"s3 has_cross_section s3 if and only if : there exists some 2d plane that intersects the bearer of s3, and the impression of s3 upon that plane has shape quality s2.",
RO.0015012,reciprocal of,q1 reciprocal_of q2 if and only if : q1 and q2 are relational qualities and a phenotype e q1 e2 mutually implies a phenotype e2 q2 e.,
RO.0015015,has high plasma membrane amount,A relation between a cell and molecule or complex such that every instance of the cell has a high number of instances of that molecule expressed on the cell surface.,
RO.0015016,has low plasma membrane amount,A relation between a cell and molecule or complex such that every instance of the cell has a low number of instances of that molecule expressed on the cell surface.,
RO.0016001,has phenotype or disease,,
RO.0016002,has disease,A relationship that holds between an organism and a disease. Here a disease is construed broadly as a disposition to undergo pathological processes that exists in an organism because of one or more disorders in that organism.,
RO.0016004,has exposure medium,"X has exposure medium Y if X is an exposure event (process), Y is a material entity, and the stimulus for X is transmitted or carried in Y.",
RO.0017001,device utilizes material,"X device utilizes material Y means X and Y are material entities, and X is capable of some process P that has input Y.",
RO.0017003,positively correlated with,A relation between entities in which one increases or decreases as the other does the same.,
RO.0017004,negatively correlated with,A relation between entities in which one increases as the other decreases.,
RO.0017005,contains measured amount,A relation between a container and measurement datum that specifies the actual amount of material in the container.,
RO.0017006,has maximum capacity,A relation that relates a container to a measurement datum that specifies the maximum capacity of the container. Capacity can refer to either weight or volume.,
RO.0017008,owns,A primitive relation that holds between entities x and y in which y is at x's full disposal.,
RO.0017009,is owned by,Inverse of the owns relation.,
RO.0018001,is myristoyltransferase activity,Helper relation for OWL definition of RO:0018002 myristoylates,
RO.0018002,myristoylates,"A molecularly-interacts-with relationship between two entities, where the subject catalyzes a myristoylation activity that takes the object as input",
RO.0018003,myristoylated by,inverse of myristoylates,
RO.0018027,is agonist of,a relation between a ligand (material entity) and a receptor (material entity) that implies the binding of the ligand to the receptor activates some activity of the receptor,
RO.0018028,is inverse agonist of,a relation between a ligand (material entity) and a receptor (material entity) that implies the binding of the ligand to the receptor inhibits some activity of the receptor to below basal level,
RO.0018029,is antagonist of,a relation between a ligand (material entity) and a receptor (material entity) that implies the binding of the ligand to the receptor reduces some activity of the receptor to basal level,
RO.0018030,chemical relationship,,
RO.0018031,is direct conjugate base of,"A is a direct conjugate base of B if and only if A is chemical entity that is a Brønsted–Lowry Base (i.e., can receive a proton) and by receiving a particular proton transforms it into B.",
RO.0018032,is direct conjugate acid of,"A is a direct conjugate acid of B if and only if A is chemical entity that is a Brønsted–Lowry Acid (i.e., can give up a proton) and by removing a particular proton transforms it into B.",
RO.0018033,is deprotonated form of,"A is a deprotonated form of B if and only if A is chemical entity that is a Brønsted–Lowry Base (i.e., can receive a proton) and by adding some nonzero number of protons transforms it into B.

This is a transitive relationship and follows this design pattern: https://oborel.github.io/obo-relations/direct-and-indirect-relations.",
RO.0018034,is protonated form of,"A is a protonated form of B if and only if A is chemical entity that is a Brønsted–Lowry Acid (i.e., can give up a proton) and by removing some nonzero number of protons transforms it into B.

This is a transitive relationship and follows this design pattern: https://oborel.github.io/obo-relations/direct-and-indirect-relations.",
RO.0018035,is matched small molecular pair with,"A and B are a matched small molecular pair (MMP) if their chemical structures define by a single, relatively small, well-defined structural modification.

While this is normally called ""matched molecular pair"" in the cheminformatics literaturel, it is labeled as ""matched small molecular pair"" so as to reduce confusion with peptides and other macromolecules, which are also referenced as ""molecules"" in some contexts.

This relationship is symmetric, meaning if A is a MMP with B iff B is a MMP with A.

This relationship is not transitive, meaning that A is a MMP with B and B is a MMP with C, then A is not necessarily an MMP with C.",
RO.0018036,is tautomer of,"Two chemicals are tautomers if they can be readily interconverted.

This commonly refers to prototropy in which a hydrogen's position is changed, such as between ketones and enols. This is also often observed in heterocyclic rings, e.g., ones containing nitrogens and/or have aryl functional groups containing heteroatoms.",
RO.0018037,is substitutent group from,"Group A is a substituent group from Chemical B if A represents the functional part of A and includes information about where it is connected. A is not itself a chemical with a fully formed chemical graph, but is rather a partial graph with one or more connection points that can be used to attach to another chemical graph, typically as a functionalization.",
RO.0018038,has functional parent,"Chemical A has functional parent Chemical B if there is chemical transformation through which chemical B can be produced from chemical A. 

For example, the relationship between a salt and a freebased compound is a ""has functional parent"" relationship.",
RO.0018039,is enantiomer of,"Chemicals A and B are enantiomers if they share the same molecular graph except the change of the configuration of substituents around exactly one chiral center.

A chemical with no chiral centers can not have an enantiomer. A chemical with multiple chiral centers can have multiple enantiomers, but its enantiomers are not themselves enantiomers (they are diastereomers).",
RO.0018040,has parent hydride,Chemical A has parent hydride Chemical B if there exists a molecular graphical transformation where functional groups on A are replaced with hydrogens in order to yield B.,
RO.0019000,regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) regulates characteristic (C) iff: P results in the existence of C OR affects the intensity or magnitude of C.,
RO.0019001,positively regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) positively regulates characteristic (C) iff: P results in an increase in the intensity or magnitude of C.,
RO.0019002,negatively regulates characteristic,A relationship that holds between a process and a characteristic in which process (P) negatively regulates characteristic (C) iff: P results in a decrease in the intensity or magnitude of C.,
RO.0019501,confers susceptibility to condition,"Relates a gene to condition, such that a variation in this gene predisposes to the development of a condition.",
RO.0020101,vessel supplies blood to,x vessel supplies blood to y if and only if x is a vessel that supplies blood directly or indirectly to an anatomical structure y.,
RO.0020102,vessel drains blood from,x vessel drains blood from y if and only if x is a vessel that drains blood directly or indirectly from an anatomical structure y.,
RO.0020103,directly supplies and drains,"x directly supplies and drains y if and only if x is a capillary, y is an anatomical entity, and x directly supplies and drains y.",
RO.0020202,has numerator,A relationship between a ratio or proportion and its dividend.,
RO.0020203,has denominator,A relationship between a ratio or proportion and its divisor.,
RO.0040035,disease relationship,This relation groups  relations between diseases and any other kind of entity.,
RO.0040036,results in changes to anatomical or cellular structure,"p has anatomical participant c iff p has participant c, and c is an anatomical entity",
RO.HOM0000000,in similarity relationship with,Relation between biological objects that resemble or are related to each other sufficiently to warrant a comparison.,
RO.HOM0000001,in homology relationship with,Similarity that results from common evolutionary origin.,
RO.HOM0000002,in homoplasy relationship with,Similarity that results from independent evolution.,
RO.HOM0000003,in homocracy relationship with,Similarity that is characterized by the organization of anatomical structures through the expression of homologous or identical patterning genes.,
RO.HOM0000004,in convergence relationship with,Homoplasy that involves different underlying mechanisms or structures.,
RO.HOM0000005,in parallelism relationship with,Homoplasy that involves homologous underlying mechanisms or structures.,
RO.HOM0000006,in structural homology relationship with,Homology that is defined by similarity with regard to selected structural parameters.,
RO.HOM0000007,in historical homology relationship with,Homology that is defined by common descent.,
RO.HOM0000008,in biological homology relationship with,"Homology that is defined by sharing of a set of developmental constraints, caused by locally acting self-regulatory mechanisms of differentiation, between individualized parts of the phenotype.",
RO.HOM0000009,in reversal relationship with,Homoplasy that involves phenotypes similar to those seen in ancestors within the lineage.,
RO.HOM0000010,in syntenic homology relationship with,Structural homology that is detected by similarity in content and organization between chromosomes.,
RO.HOM0000011,in paralogy relationship with,Historical homology that involves genes that diverged after a duplication event.,
RO.HOM0000012,in syntenic paralogy relationship with,Paralogy that involves sets of syntenic blocks.,
RO.HOM0000013,in syntenic orthology relationship with,Syntenic homology that involves chromosomes of different species.,
RO.HOM0000014,in partial homology relationship with,Structural homology that involves complex structures from which only a fraction of the elements that can be isolated are separately homologous.,
RO.HOM0000015,in protein structural homology relationship with,"Structural homology that is detected at the level of the 3D protein structure, but maybe not at the level of the amino acid sequence.",
RO.HOM0000016,in non functional homology relationship with,Structural homology that involves a pseudogenic feature and its functional ancestor.,
RO.HOM0000017,in orthology relationship with,Historical homology that involves genes that diverged after a speciation event.,
RO.HOM0000018,in xenology relationship with,Historical homology that is characterized by an interspecies (horizontal) transfer since the common ancestor.,
RO.HOM0000019,in 1 to 1 homology relationship with,Historical homology that involves two members sharing no other homologs in the lineages considered.,
RO.HOM0000020,in 1 to 1 orthology relationship with,Orthology that involves two genes that did not experience any duplication after the speciation event that created them.,
RO.HOM0000022,in ohnology relationship with,Paralogy that results from a whole genome duplication event.,
RO.HOM0000023,in in-paralogy relationship with,Paralogy that results from a lineage-specific duplication subsequent to a given speciation event.,
RO.HOM0000024,in out-paralogy relationship with,Paralogy that results from a duplication preceding a given speciation event.,
RO.HOM0000025,in pro-orthology relationship with,"1:many orthology that involves a gene in species A and one of its ortholog in species B, when duplications more recent than the species split have occurred in species B but not in species A.",
RO.HOM0000026,in semi-orthology relationship with,"1:many orthology that involves a gene in species A and its ortholog in species B, when duplications more recent than the species split have occurred in species A but not in species B.",
RO.HOM0000027,in serial homology relationship with,Iterative homology that involves structures arranged along the main body axis.,
RO.HOM0000028,in heterochronous homology relationship with,"Biological homology that is characterized by changes, over evolutionary time, in the rate or timing of developmental events of homologous structures.",
RO.HOM0000029,in paedomorphorsis relationship with,Heterochronous homology that is produced by a retention in adults of a species of traits previously seen only in juveniles.,
RO.HOM0000030,in peramorphosis relationship with,"Heterochronous homology that is produced by a maturation of individuals of a species past adulthood, which take on hitherto unseen traits.",
RO.HOM0000031,in progenesis relationship with,Paedomorphosis that is produced by precocious sexual maturation of an organism still in a morphologically juvenile stage.,
RO.HOM0000032,in neoteny relationship with,Paedomorphosis that is produced by a retardation of somatic development.,
RO.HOM0000033,in mimicry relationship with,Convergence that results from co-evolution usually involving an evolutionary arms race.,
RO.HOM0000034,in 1 to many orthology relationship with,Orthology that involves two genes when duplications more recent than the species split have occurred in one species but not the other.,
RO.HOM0000036,in many to many homology relationship with,Historical homology that involves two members of a larger set of homologs.,
RO.HOM0000037,in 1 to many homology relationship with,"Historical homology that involves a structure that has no other homologs in the species in which it is defined, and several homologous structures in another species.",
RO.HOM0000042,in apomorphy relationship with,"Historical homology that is based on recent shared ancestry, characterizing a monophyletic group.",
RO.HOM0000043,in plesiomorphy relationship with,Historical homology that is based on distant shared ancestry.,
RO.HOM0000044,in deep homology relationship with,Homocracy that involves morphologically and phylogenetically disparate structures that are the result of parallel evolution.,
RO.HOM0000045,in hemiplasy relationship with,Historical homology that is characterized by topological discordance between a gene tree and a species tree attributable to the phylogenetic sorting of genetic polymorphisms across successive nodes in a species tree.,
RO.HOM0000046,in gametology relationship with,Historical homology that involves not recombining and subsequently differentiated sex chromosomes.,
RO.HOM0000047,in chromosomal homology relationship with,Historical homology that involves the chromosomes able to pair (synapse) during meiosis.,
RO.HOM0000048,in many to many orthology relationship with,Orthology that involves two genes that experienced duplications more recent than the species split that created them.,
RO.HOM0000049,in within-species paralogy relationship with,Paralogy that involves genes from the same species.,
RO.HOM0000050,in between-species paralogy relationship with,Paralogy that involves genes from different species.,
RO.HOM0000051,in postdisplacement relationship with,Paedomorphosis that is produced by delayed growth of immature structures into the adult form.,
RO.HOM0000052,in hypermorphosis relationship with,Peramorphosis that is produced by a delay in the offset of development.,
RO.HOM0000053,in synology relationship with,"Xenology that results, not from the transfer of a gene between two species, but from a hybridization of two species.",
RO.HOM0000054,in isoorthology relationship with,Orthology that involves functional equivalent genes with retention of the ancestral function.,
RO.HOM0000055,in tandem paralogy relationship with,Paralogy that is characterized by duplication of adjacent sequences on a chromosome segment.,
RO.HOM0000057,in latent homology relationship with,"Parallelism that involves morphologically very similar structures, occurring only within some members of a taxon and absent in the common ancestor (which possessed the developmental basis to develop this character).",
RO.HOM0000058,in syngeny relationship with,"Homocracy that involves recognizably corresponding characters that occurs in two or more taxa, or as a repeated unit within an individual.",
RO.HOM0000060,in apparent orthology relationship with,Between-species paralogy that involves single copy paralogs resulting from reciprocal gene loss.,
RO.HOM0000061,in pseudoparalogy relationship with,Xenology that involves genes that ended up in a given genome as a result of a combination of vertical inheritance and horizontal gene transfer.,
RO.HOM0000062,in equivalogy relationship with,Historical homology that involves functional equivalent genes with retention of the ancestral function.,
RO.HOM0000063,in interology relationship with,Historical homology that involves orthologous pairs of interacting molecules in different organisms.,
RO.HOM0000065,in functional equivalence relationship with,Similarity that is characterized by interchangeability in function.,
RO.HOM0000066,in iterative homology relationship with,Biological homology that involves parts of the same organism.,
RO.HOM0000068,in paraxenology relationship with,"Xenology that is characterized by multiple horizontal transfer events, resulting in the presence of two or more copies of the foreign gene in the host genome.",
RO.HOM0000069,in plerology relationship with,Paralogy that is characterized by extra similarity between paralogous sequences resulting from concerted evolution.,
RO.HOM0000071,in homotopy relationship with,Structural homology that involves structures with the same or similar relative positions.,
RO.HOM0000072,in homeosis relationship with,Biological homology that involves an ectopic structure and the normally positioned structure.,
RO.HOM0000073,in homoeology relationship with,Synology that results from allopolyploidy.,
RO.HOM0000074,in paramorphism relationship with,"Iterative homology that involves two structures, one of which originated as a duplicate of the other and co-opted the expression of patterning genes of the ancestral structure.",
RO.HOM0000075,in regulogy relationship with,Historical homology that involves orthologous pairs of transcription factors and downstream regulated genes in different organisms.,
